OBJECTID,NAME,FULLNAME,TYPE,TRACT,COUNTYFIPS,STATEFIPS,STATEABBR,DSITE,DSITENAME,CONTNMPRE,CONTFSTNM,CONTMIDNM,CONTLSTNM,CONTNMSUF,CONTTITLE,CONTORG,CONTDEPT,CONTADDR1,CONTADDR2,CONTCITY,CONTSTATE,CONTZIP,CONTPHONE,CONTFAX,CONTEMAIL,FIPS,TRACTYEAR,PERIODA,PERIODB,PERIODC,URBANRURAL,LINK,PERIODD,Shape__Area,Shape__Length
2011,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,231700,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031231700,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),1648924.09375,5345.29049700183
2012,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,009700,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079009700,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,833469.90625,3713.75452023479
2013,"Cleveland, OH","Cleveland, OH Empowerment Zone",Empowerment Zone,108600,035,39,OH,No,, ,Dryck, ,Bennett, , ,Assistant Director, ,3634 Euclid Avenue,Suite 200,Cleveland,OH,44115,216-664-4165,216-420-8522,DBennett@city.cleveland.oh.us,39035108600,1990,Enterprise Community (Round I),"Empowerment Zone (Round I) Beginning Jan. 1, 2000; Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round I)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=OH&community=Cleveland&info1=Round+I+EZ&ID=39110400001,Empowerment Zone (Round I),894817.125,5851.88780268929
2014,"Memphis, TN","Memphis, TN Renewal Community",Renewal Community,010500,157,47,TN,No,,Ms.,Dottie, ,Jones, , , ,Office of Intergovernmental Relations,"125 North Main Street, Room 336", ,Memphis,TN,38103,901-576-6565,901-576-6570,dottie.jones@cityofmemphis.org,47157010500,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TN&community=Memphis_RC&info1=Urban+Renewal+Community&ID=12902500001,None,8568593.90625,14540.673508277
2015,West-Central Mississippi,West-Central Mississippi Renewal Community,Renewal Community,950300,079,28,MS,No,,Mr.,Bruce, ,Reynolds, , ,Director of Planning and Management,Central Mississippi Planning and Development District,1170 Lakeland Drive,PO Box 4935,Jackson,MS,39296-4935,601-981-1511,601-981-1515,breynolds@cmpdd.org,28079950300,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MS&community=West_Central_RC&info1=Rural+Renewal+Community&ID=09072600001,None,56090791.1015625,43766.6336217289
2016,"New York, NY","New York, NY Empowerment Zone",Empowerment Zone,030100,061,36,NY,No,,Mr.,Marion, ,Phillips, , ,Chief Administrative Officer, ,633 Third Ave.,32nd Floor,New York,NY,10019,212-803-3239,212-803-3235,mphillips@empire.state.ny.us,36061030100,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=New+York&info1=Round+I+EZ&ID=36000100001,Empowerment Zone (Round I),904888.10546875,4280.99313355686
2017,"Yonkers, NY","Yonkers, NY Empowerment Zone",Empowerment Zone,000500,119,36,NY,No,,Mr.,Edward, ,Sheeran, , ,Special Assistant to the Mayor,Office of Economic Development,40 South Broadway,City Hall,Yonkers,NY,10701,914-377-6797,914-377-6003,Edward.Sheeran@cityofyonkers.com,36119000500,1990,None,None,Empowerment Zone (Round III),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=Yonkers&info1=Round+III+EZ&ID=09072600001,Empowerment Zone (Round III),799186.04296875,4617.91718024524
2018,"Hunington, WV/Ironton, OH","Huntington, WV/Ironton, OH Empowerment Zone",Empowerment Zone,000700,011,54,WV,No,,Mrs,Cathy,L.,Burns, , ,Executive Director, ,320 Ninth Street,Suite B,Huntington,WV,25701,304-399-5454,304-399-5458,burnsc@ntelos.net,54011000700,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WV&community=ironton_huntington&info1=Round+I+EC&info1=Round+II+EZ&ID=54066600,Empowerment Zone (Round II),1211223.109375,4653.580264085
2019,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,006300,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079006300,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1594372.21484375,5101.22894227967
2020,Mid-Delta,Mid-Delta Empowerment Zone,Empowerment Zone,950300,011,28,MS,No,,Mr.,Arthur, ,Peyton, , ,Executive Director, ,1400 Highway 82 West,MS Valley State Univ/ L.S. Roger,Itta Bena,MS,38941,662-254-9957,662-254-9941,mdeza@tecinfo.com,28011950300,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Rural,http://www.ezec.gov/ezec/ms/mdeza.html,Empowerment Zone (Round I),347964304.757813,90828.0736918832
2021,"Cumberland County, NJ","Cumberland County, NJ Empowerment Zone",Empowerment Zone,,011,34,NJ,Yes,Millville 1 Developable Site,Mr.,Jerry, ,Velazquez,III,III,Executive Director, ,50 E. Broad St., ,Bridgeton,NJ,08302,856-459-1700,856-459-4099,jerryv@cezcorp.org,,,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NJ&community=Cumberland+County&info1=Round+II+EZ&ID=34901100001,Empowerment Zone (Round II),2434300.91015625,9171.31624591405
2022,Clinch-Powell,Clinch-Powell Enterprise Community,Enterprise Community,960100,067,47,TN,No,, ,Lindy, ,Turner, , , , ,"Rte 2, Hwy 11W", ,Rutledge,TN,37861,865-828-5927,865-828-5212,lindy@clinchpowell.org,47067960100,1990,None,Enterprise Community (Round II),Enterprise Community (Round II),Rural,http://www.ezec.gov/Communit/clinch.html,None,191483714.066406,89189.2135244971
2023,"Newark, NJ","Newark, NJ Renewal Community",Renewal Community,008700,013,34,NJ,No,,Ms.,Angela, ,Corbo, , ,Renewal Community Coordinator,Department of Administration,"920 Broad St., Room B-16", ,Newark,NJ,07104,973-733-4331,973-424-4286,corboa@ci.newark.nj.us,34013008700,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NJ&community=Newark_RC&info1=Urban+Renewal+Community&ID=09072600001,None,941977.72265625,4772.4505650956
2024,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,381600,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031381600,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),179531.82421875,1787.29043076488
2025,"Columbus, OH","Columbus, OH Empowerment Zone",Empowerment Zone,002300,049,39,OH,No,,Mr.,Jon,C.,Beard, , ,Executive Director, ,1000 E. Main St., ,Columbus,OH,43205,614-251-0926,614-251-2243,jbeard@colscompact.com,39049002300,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=OH&community=Columbus&info1=Round+I+EC&info1=Round+II+EZ&ID=39117600001,Empowerment Zone (Round II),4036386.87109375,11998.4077764682
2026,"Cincinnati, OH","Cincinnati, OH Empowerment Zone",Empowerment Zone,000400,061,39,OH,No,,Mr.,Harold, ,Cleveland, , ,CEO, ,"3030 Vernon Place, 3rd Floor", ,Cincinnati,OH,45219,513-487-5200,513-487-5202,hcleveland@empowercincy.org,39061000400,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=OH&community=Cincinnati&info1=Round+II+EZ&ID=39106200001,Empowerment Zone (Round II),1324454.40234375,5955.49179575609
2027,"Philadelphia, PA","Philadelphia, PA Renewal Community",Renewal Community,001800,101,42,PA,No,,Mr.,Andrew, ,Frishkoff, , ,Director of Economic Development for the EZ/RC, ,"1515 Arch Street, 12th Floor", ,Philadelphia,PA,19102,215-683-2025,215-557-8538,andrew.frishkoff@phila.org,42101001800,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=PA&community=Philadelphia_RC&info1=Urban+Renewal+Community&ID=12902500001,None,406982.859375,3573.80152845633
2028,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,511200,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163511200,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),833846.265625,5172.96036426798
2029,"Columbus, OH","Columbus, OH Empowerment Zone",Empowerment Zone,002200,049,39,OH,No,,Mr.,Jon,C.,Beard, , ,Executive Director, ,1000 E. Main St., ,Columbus,OH,43205,614-251-0926,614-251-2243,jbeard@colscompact.com,39049002200,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=OH&community=Columbus&info1=Round+I+EC&info1=Round+II+EZ&ID=39117600001,Empowerment Zone (Round II),1153802.38671875,4860.68399116546
2030,Eastern Kentucky,Eastern Kentucky Renewal Community,Renewal Community,990100,189,21,KY,No,,Ms.,Susan,E.,Wilder, , ,State Contact, ,PO Box 637,Old Highway 11/ Action Place,Booneville,KY,41314,606-593-7296,606-593-7781,swilder@owsleycountykentucky.org,21189990100,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=KY&community=Eastern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,207567243.339844,89643.455326025
2031,"Newark, NJ","Newark, NJ Renewal Community",Renewal Community,006000,013,34,NJ,No,,Ms.,Angela, ,Corbo, , ,Renewal Community Coordinator,Department of Administration,"920 Broad St., Room B-16", ,Newark,NJ,07104,973-733-4331,973-424-4286,corboa@ci.newark.nj.us,34013006000,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NJ&community=Newark_RC&info1=Urban+Renewal+Community&ID=09072600001,None,320742.765625,2445.61537779298
2032,"Philadelphia, PA","Philadelphia, PA Renewal Community",Renewal Community,015100,101,42,PA,No,,Mr.,Andrew, ,Frishkoff, , ,Director of Economic Development for the EZ/RC, ,"1515 Arch Street, 12th Floor", ,Philadelphia,PA,19102,215-683-2025,215-557-8538,andrew.frishkoff@phila.org,42101015100,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=PA&community=Philadelphia_RC&info1=Urban+Renewal+Community&ID=12902500001,None,1296954.45703125,4682.82271568627
2033,"New York, NY","New York, NY Empowerment Zone",Empowerment Zone,001100,005,36,NY,No,,Mr.,Marion, ,Phillips, , ,Chief Administrative Officer, ,633 Third Ave.,32nd Floor,New York,NY,10019,212-803-3239,212-803-3235,mphillips@empire.state.ny.us,36005001100,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=New+York&info1=Round+I+EZ&ID=36000100001,Empowerment Zone (Round I),741584.16015625,3498.80376128847
2034,"Atlanta, GA","Atlanta, GA Renewal Community",Renewal Community,007804,121,13,GA,No,,Mr.,Melvin,,Waldrop,,,Program Director,Atlanta Neighborhood Development Partnership,100 Peachtree Street NW,Suite 700,Atlanta,GA,30303,404-522-2637,404-523-4357,mwaldrop@andpi.org,13121007804,1990,None,None,Atlanta Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=GA&community=Atlanta_RC&info1=Urban+Renewal+Community&ID=09072600001,None,6581686.796875,13454.5303028262
2035,"New York, NY","New York, NY Empowerment Zone",Empowerment Zone,021302,061,36,NY,No,,Mr.,Marion, ,Phillips, , ,Chief Administrative Officer, ,633 Third Ave.,32nd Floor,New York,NY,10019,212-803-3239,212-803-3235,mphillips@empire.state.ny.us,36061021302,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=New+York&info1=Round+I+EZ&ID=36000100001,Empowerment Zone (Round I),46501.0703125,917.4542906558
2036,Fort Peck Assiniboine and Sioux Tribe,Fort Peck Assiniboine and Sioux Tribe Enterprise Community,Enterprise Community,951100,085,30,MT,No,,Mr.,Mark, ,Sansaver, , ,Director, ,Highway No. 2 East,P.O. Box 398,Poplar,MT,59255,406-768-3155,406-768-3581,MarkS@fpcc.cc.mt.us,30085951100,1990,None,Enterprise Community (Round II),Enterprise Community (Round II),Rural,http://www.ezec.gov/Communit/fortpeck.html,None,10226985633.6484,606776.462839742
2037,"Newark, NJ","Newark, NJ Renewal Community",Renewal Community,004400,013,34,NJ,No,,Ms.,Angela, ,Corbo, , ,Renewal Community Coordinator,Department of Administration,"920 Broad St., Room B-16", ,Newark,NJ,07104,973-733-4331,973-424-4286,corboa@ci.newark.nj.us,34013004400,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NJ&community=Newark_RC&info1=Urban+Renewal+Community&ID=09072600001,None,389536.640625,2504.46006551023
2038,Northwoods NiiJii,Northwoods NiiJii Enterprise Community,Enterprise Community,970100,078,55,WI,No,,Ms.,Karlene, ,Zajicek, , ,President, ,P.O. Box 67, ,Lac du Flambeau,WI,54538,715-588-3303,715-588-9408,pugzaj@newnorth.net,55078970100,1990,None,Enterprise Community (Round II),Enterprise Community (Round II),Rural,http://www.ezec.gov/Communit/northwoods.html,None,1890890064.16016,192793.45453347
2039,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,004200,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079004200,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1296738.125,5963.55153060346
2040,"Norfolk/Portsmouth, VA","Norfolk/Portsmouth, VA Empowerment Zone",Empowerment Zone,004400,710,51,VA,No,,Dr.,Landis, ,Faulcon, , ,Executive Director, ,2359 Corprew Avenue, ,Norfolk,VA,23504,757-314-4228,757-314-4242,lfaulcon@empowerment2010.org,51710004400,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=VA&community=Norfolk_Portsmouth&info1=Round+I+EC&info1=Round+II+EZ&ID=51111600,Empowerment Zone (Round II),1193057.45703125,4589.17984831154
2041,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,381700,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031381700,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),344560.2578125,2800.97238605359
2042,"Ouachita Parish, LA","Ouachita Parish, LA Renewal Community",Renewal Community,001200,073,22,LA,No,,Ms.,Elizabeth,G.,Pierre, , ,Renewal Community Specialist, ,"1900 N. 18th Street, Suite 440", ,Monroe,LA,71201,318-387-0787,318-387-8529,lpierre@oedc.org,22073001200,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Ouachita_Parish_RC&info1=Urban+Renewal+Community&ID=09072600001,None,2254766.7890625,7692.59286447074
2043,"Santa Ana, CA","Santa Ana, CA Empowerment Zone",Empowerment Zone,,059,06,CA,Yes,Main Street Corridor,Mr.,Bill, ,Manis, , ,EZ Program Manager,Community Development Agency,"20 Civic Center Plaza, M-21", ,Santa Ana,CA,92702,714-647-5372,714-647-6580,wmanis@ci.santa-ana.ca.us,,,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=Santa+Ana&info1=Round+II+EZ&ID=06334200001,Empowerment Zone (Round II),4674935.55078125,21923.601277194
2044,"Gary/Hammond/East Chicago, IN","Gary/Hammond/East Chicago, IN Empowerment Zone",Empowerment Zone,,089,18,IN,Yes, ,Ms.,Venus, ,Cobb, , ,Executive Director,Empowerment Zone Office,840 Broadway St., ,Gary,IN,46402,219-886-9047,219-886-9051,venuscobb@yahoo.com,,,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IN&community=gary_echicago&info1=Round+II+EZ&ID=18110400001,Empowerment Zone (Round II),15585265.7109375,19392.9651969268
2045,"Fresno, CA","Fresno, CA Empowerment Zone",Empowerment Zone,,019,06,CA,Yes, ,Mr.,Fred, ,Burkhardt, , ,Director,Economic Development,2600 Fresno St.,Room 3076,Fresno,CA,93721-3601,559-621-8350,559-488-1078,fred.burkhardt@fresno.gov,,,None,None,Empowerment Zone (Round III),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=Fresno&info1=Round+III+EZ&ID=09072600001,Empowerment Zone (Round III),9215620.484375,40220.4585448896
2046,"Chicago, IL","Chicago, IL Renewal Community",Renewal Community,680800,031,17,IL,No,,Mr.,Wallace,E.,Goode,Jr.,Jr.,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031680800,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago_RC&info1=Urban+Renewal+Community&ID=12902500001,None,524554.58203125,3044.73048613677
2047,"Syracuse, NY","Syracuse, NY Empowerment Zone",Empowerment Zone,004200,067,36,NY,No,,Mr.,Bill, ,Owens, , ,City of Syracuse,Department of Economic Development,233 E. Washington St.,"City Hall, Room 312",Syracuse,NY,13202,315-448-8108,315-448-8036,bowens@edsyracuse.com,36067004200,1990,None,None,Empowerment Zone (Round III),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=Syracuse&info1=Round+III+EZ&ID=06334200001,Empowerment Zone (Round III),758044.578125,3526.84682515301
2048,Central Louisiana,Central Louisiana Renewal Community,Renewal Community,990200,029,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22029990200,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Central_RC&info1=Rural+Renewal+Community&ID=12902500001,None,44062124.515625,36236.5988668083
2049,"New York, NY","New York, NY Empowerment Zone",Empowerment Zone,029300,061,36,NY,No,,Mr.,Marion, ,Phillips, , ,Chief Administrative Officer, ,633 Third Ave.,32nd Floor,New York,NY,10019,212-803-3239,212-803-3235,mphillips@empire.state.ny.us,36061029300,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=New+York&info1=Round+I+EZ&ID=36000100001,Empowerment Zone (Round I),272338.796875,2213.19512830015
2050,"New York, NY","New York, NY Empowerment Zone",Empowerment Zone,021301,061,36,NY,No,,Mr.,Marion, ,Phillips, , ,Chief Administrative Officer, ,633 Third Ave.,32nd Floor,New York,NY,10019,212-803-3239,212-803-3235,mphillips@empire.state.ny.us,36061021301,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=New+York&info1=Round+I+EZ&ID=36000100001,Empowerment Zone (Round I),197485.1640625,1856.81716769735
